cluster	SEQFID	genus	species	strain
cluster1069	SEQF1560	Yersinia	pestis	biovar Antiqua str. B42003004
cluster3047	SEQF2642	Finegoldia	magna	ALB8
cluster3219	SEQF2718	Chlorobium	limicola	DSM 245
cluster825	SEQF1405	Streptococcus	pneumoniae	SP3-BS71
cluster3424	SEQF2863	Acidovorax	ebreus	tpsy
cluster336	SEQF1166	Neisseria	elongata	ATCC 29315
cluster3230	SEQF2729	Prevotella	bivia	DNF00320
cluster3317	SEQF2798	Porphyromonas	gingivalis	A7A1-28
cluster3765	SEQF3004	Corynebacterium	coyleae	hmsc070h05
cluster2351	SEQF2289	Bacillus	subtilis	subsp. spizizenii str. W23
cluster1811	SEQF1994	Rothia	dentocariosa	M567
cluster045	SEQF1032	Mycobacterium	tuberculosis	CDC1551
cluster3782	SEQF3010	Corynebacterium	aurimucosum	hmsc078c09
cluster2752	SEQF2487	Bradyrhizobium	elkanii	USDA 76
cluster814	SEQF1404	Streptococcus	pneumoniae	SP23-BS72
cluster895	SEQF1489	Staphylococcus	aureus	D30
cluster2935	SEQF2588	Streptococcus	anginosus	C238
cluster2313	SEQF2283	Mycobacterium	tuberculosis	CTRI-2
cluster070	SEQF1037	Bacillus	anthracis	Ames
cluster1897	SEQF2057	Comamonas	testosteroni	ATCC 11996
cluster2534	SEQF2338	Streptococcus	mitis	SK579
cluster481	SEQF1249	Klebsiella	pneumoniae	342
cluster2203	SEQF2228	Streptococcus	pneumoniae	GA17545
cluster2164	SEQF2208	Staphylococcus	warneri	VCU121
cluster403	SEQF1195	Neisseria	flavescens	NRL30031/H210
cluster094	SEQF1054	Yersinia	pestis	Antiqua JGI
cluster784	SEQF1395	Variovorax	paradoxus	S110
cluster2792	SEQF2514	Ralstonia	pickettii	OR214
cluster388	SEQF1191	Escherichia	coli	B str. REL606
cluster1244	SEQF1645	Mycobacterium	leprae	Br4923
cluster3451	SEQF2873	Corynebacterium	pilbarense	hmsc034a01
cluster1179	SEQF1594	Kingella	oralis	ATCC 51147
cluster525	SEQF1286	Cutibacterium	acnes	"KPA171202, DSM 16379"
cluster1402	SEQF1783	Lactobacillus	vaginalis	ATCC 49540
cluster387	SEQF1191	Escherichia	coli	B str. REL606
cluster2303	SEQF2276	Corynebacterium	diphtheriae	PW8
cluster1186	SEQF1600	Leptotrichia	goodfellowii	F0264
cluster352	SEQF1173	Bacillus	subtilis	BSn5
cluster2509	SEQF2331	Neisseria	weaveri	LMG 5135
cluster2017	SEQF2167	Pseudomonas	aeruginosa	M18
cluster1157	SEQF1588	Streptococcus	pneumoniae	BS458
cluster1462	SEQF1810	Staphylococcus	aureus	A9299
cluster2548	SEQF2345	Streptococcus	salivarius	M18
cluster1904	SEQF2060	Enterococcus	saccharolyticus	30_1
cluster027	SEQF1025	Mesorhizobium	loti	MAFF303099
cluster1773	SEQF1984	Lactobacillus	plantarum	subsp. plantarum ATCC 14917
cluster1108	SEQF1565	Yersinia	pestis	biovar Orientalis str. F1991016
cluster2280	SEQF2272	Corynebacterium	diphtheriae	HC02
cluster1947	SEQF2106	Klebsiella	pneumoniae	KCTC 2242
cluster3021	SEQF2628	Lactobacillus	salivarius	cp400
cluster2272	SEQF2270	Corynebacterium	diphtheriae	CDCE 8392
cluster1374	SEQF1728	Anaerococcus	tetradius	ATCC 35098
cluster035	SEQF1029	Parvimonas	micra	ATCC 33270
cluster869	SEQF1457	Ochrobactrum	anthropi	ATCC 49188
cluster940	SEQF1509	Escherichia	coli	O157:H7 str. EC4076 
cluster1413	SEQF1794	Neisseria	gonorrhoeae	DGI2
cluster165	SEQF1082	Yersinia	pestis	biovar Microtus str. 91001
cluster2299	SEQF2275	Corynebacterium	diphtheriae	INCA 402
cluster3631	SEQF2953	Corynebacterium	accolens	kpl2004
cluster3508	SEQF2892	Staphylococcus	haemolyticus	s167
cluster477	SEQF1247	Escherichia	coli	O157:H7 str. TW14359
cluster1279	SEQF1676	Parvimonas	sp. HMT 110	F0139
cluster983	SEQF1519	Escherichia	coli	SECEC SMS-3-5
cluster199	SEQF1099	Yersinia	pestis	Pestoides F
cluster2499	SEQF2327	Kingella	kingae	PYKK081
cluster935	SEQF1508	Escherichia	coli	O157:H7 str. EC4045
cluster3514	SEQF2894	Roseomonas	mucosa	au37
cluster3334	SEQF2812	Fusobacterium	nucleatum subsp. polymorphum	ChDC F319
cluster1785	SEQF1991	Pseudomonas	aeruginosa	138244
cluster1218	SEQF1622	Acinetobacter	baumannii	AB307-0294
cluster1387	SEQF1760	Klebsiella	pneumoniae	ATCC 13884
cluster1272	SEQF1668	Actinomyces	johnsonii	F0330
cluster2138	SEQF2202	Staphylococcus	aureus	O11
cluster3562	SEQF2914	Staphylococcus	schleiferi	tscc54
cluster516	SEQF1276	Neisseria	meningitidis	MC58
cluster1081	SEQF1561	Yersinia	pestis	biovar Antiqua str. E1979001
cluster3634	SEQF2954	Corynebacterium	accolens	kpl1824
cluster2874	SEQF2559	Lactococcus	lactis	TIFN7
cluster3401	SEQF2853	Haematobacter	missouriensis	h2381
cluster1443	SEQF1806	Staphylococcus	aureus	A6224
cluster147	SEQF1072	Tannerella	forsythia	"92A2 not ATCC 43037, FDC 338"
cluster1722	SEQF1964	Lactobacillus	fermentum	CECT 5716
cluster1006	SEQF1527	Streptococcus	pneumoniae	CDC3059-06
cluster222	SEQF1120	Lactobacillus	reuteri clade 818	100-23
cluster1231	SEQF1640	Staphylococcus	epidermidis	BCM-HMP0060
cluster3851	SEQF3036	Corynebacterium	simulans	hmsc076d02
cluster1507	SEQF1835	Staphylococcus	aureus	WW2703/97
cluster320	SEQF1161	Acinetobacter	baumannii	SDF
cluster2361	SEQF2290	Bacillus	subtilis	subsp. spizizenii TU-B-10
cluster3788	SEQF3013	Corynebacterium	amycolatum	hmsc072b08
cluster694	SEQF1344	Streptococcus	pneumoniae	INV200
cluster3662	SEQF2968	Corynebacterium	coyleae	hmsc034b08
cluster3817	SEQF3025	Fusobacterium	nucleatum subsp. polymorphum	obrc1
cluster3333	SEQF2812	Fusobacterium	nucleatum subsp. polymorphum	ChDC F319
cluster3110	SEQF2692	Cronobacter	sakazakii	SP291
cluster833	SEQF1407	Streptococcus	pneumoniae	SP9-BS68
cluster1251	SEQF1648	Corynebacterium	matruchotii	ATCC 33806
cluster436	SEQF1213	Escherichia	coli	O157:H7 EDL933
cluster920	SEQF1498	Eggerthella	lenta	"DSM 2243, VPI 0255"
cluster227	SEQF1129	Mycobacterium	tuberculosis	H37Ra
cluster1635	SEQF1915	Prevotella	marshii	DSM 16973
cluster2488	SEQF2325	Bradyrhizobium	elkanii	587
cluster1112	SEQF1566	Yersinia	pestis	biovar Orientalis str. India 195
cluster2504	SEQF2329	Neisseria	meningitidis	961-5945
cluster720	SEQF1357	Streptococcus	pyogenes	"M6 MGAS10394, ATCC BAA-946"
cluster866	SEQF1451	Bacteroidales [G-2]	bacterium HMT 274	F0058
cluster3695	SEQF2979	Corynebacterium	amycolatum	hmsc064e10
cluster3834	SEQF3030	Corynebacterium	tuberculostearicum	kpl1817
cluster1790	SEQF1991	Pseudomonas	aeruginosa	138244
cluster3776	SEQF3008	Corynebacterium	coyleae	hmsc067d03
cluster2275	SEQF2271	Corynebacterium	diphtheriae	HC01
cluster206	SEQF1100	Neisseria	meningitidis	53442
cluster1339	SEQF1711	Escherichia	coli	O26:H11 str. 11368
cluster2614	SEQF2388	Corynebacterium	diphtheriae	bv. intermedius str. NCTC 5011
cluster1864	SEQF2032	Aggregatibacter	actinomycetemcomitans	serotype a str. H5P1
cluster2972	SEQF2604	Enterobacter	cancerogenus	YZ1
cluster1843	SEQF2020	Streptococcus	australis	ATCC 700641
cluster353	SEQF1173	Bacillus	subtilis	BSn5
cluster2903	SEQF2577	Bifidobacterium	subtile	DSM 20096
cluster1309	SEQF1695	Peptostreptococcaceae [XI][G-1]	[Eubacterium] infirmum	F0142
cluster827	SEQF1406	Streptococcus	pneumoniae	SP6-BS73
cluster054	SEQF1034	Mycobacterium	tuberculosis	H37Rv (lab strain)
cluster3578	SEQF2935	Corynebacterium	accolens	kpl1855
cluster3215	SEQF2717	Caldilinea	aerophila	DSM 14535 = NBRC 104270
cluster2527	SEQF2334	Streptococcus	anginosus	CCUG 39159
cluster1155	SEQF1588	Streptococcus	pneumoniae	BS458
cluster2620	SEQF2392	Porphyromonas	gingivalis	W50
cluster099	SEQF1055	Yersinia	pestis	CO92
cluster346	SEQF1170	Bacillus	clausii	KSM-K16
cluster554	SEQF1297	Pseudomonas	aeruginosa	PAO1
cluster635	SEQF1317	Staphylococcus	aureus	 MW2
cluster3248	SEQF2746	Arsenicicoccus	bolidensis	F0371
cluster1583	SEQF1871	Treponema	denticola	US-Trep/F0459
cluster3170	SEQF2705	Actinomyces	israelii	DSM 43320
cluster3171	SEQF2705	Actinomyces	israelii	DSM 43320
cluster168	SEQF1083	Anaerococcus	prevotii	"DSM 20548, PC1, ATCC 9321"
cluster3349	SEQF2821	Fusobacterium	nucleatum subsp. nucleatum	"ChDC F316,KCOM 1322"
cluster3473	SEQF2880	Paenibacillus	glucanolyticus	5162
cluster3505	SEQF2891	Streptococcus	thermophilus	jim_8232
cluster2666	SEQF2420	Lactobacillus	crispatus	FB077-07
cluster1966	SEQF2120	Lactobacillus	salivarius	ACS-116-V-Col5a
cluster764	SEQF1380	Streptococcus	pyogenes	"SF370 (serotype M1 GAS), ATCC 700294"
cluster1608	SEQF1894	Aggregatibacter	actinomycetemcomitans	"Y4, ATCC 43718"
cluster3391	SEQF2848	Micavibrio	aeruginosavorus	arl_13
cluster3108	SEQF2692	Cronobacter	sakazakii	SP291
cluster2722	SEQF2461	Prevotella	loescheii	DSM 19665 = JCM 12249 = ATCC 15930
cluster1764	SEQF1980	Rhodobacter	capsulatus	SB 1003
cluster1525	SEQF1844	Yersinia	pestis	KIM D27
cluster3693	SEQF2979	Corynebacterium	amycolatum	hmsc064e10
cluster3894	SEQF3048	Corynebacterium	aurimucosum	hmsc056f09
cluster1598	SEQF1879	Fusobacterium	sp. HMT 370	F0437
cluster705	SEQF1346	Streptococcus	pneumoniae	R6
cluster3375	SEQF2841	Fusobacterium	hwasookii	ChDC F300
cluster1397	SEQF1773	Lactobacillus	jensenii	269-3
cluster563	SEQF1298	Pseudomonas	aeruginosa	UCBPP-PA14
cluster609	SEQF1311	Staphylococcus	aureus	COL
cluster1524	SEQF1843	Streptococcus	salivarius	SK126
cluster1855	SEQF2030	Achromobacter	xylosoxidans	C54
cluster3122	SEQF2695	Pseudomonas	otitidis	nan
cluster3622	SEQF2951	Corynebacterium	amycolatum	hmsc077c02
cluster347	SEQF1170	Bacillus	clausii	KSM-K16
cluster930	SEQF1507	Escherichia	coli	O157:H7 str. EC4042
cluster483	SEQF1250	Klebsiella	pneumoniae	"MGH 78578, ATCC 700721"
cluster1492	SEQF1831	Staphylococcus	aureus	TCH130
cluster843	SEQF1408	Escherichia	coli	0157:H7 str. Sakai
cluster2680	SEQF2426	Bifidobacterium	breve	UCC2003
cluster2956	SEQF2594	Actinomyces	timonensis	DSM 23838
cluster2084	SEQF2185	Yersinia	pestis	D106004
cluster135	SEQF1067	Streptococcus	mitis	B6
cluster879	SEQF1485	Acinetobacter	baumannii	AB0057
cluster2969	SEQF2603	Ralstonia	pickettii	DTP0602
cluster629	SEQF1316	Staphylococcus	aureus	"Mu50, (VRSA),  ATCC 700699"
cluster1385	SEQF1758	Haemophilus	influenzae	NT127
cluster1527	SEQF1844	Yersinia	pestis	KIM D27
cluster3635	SEQF2954	Corynebacterium	accolens	kpl1824
cluster1871	SEQF2035	Agrobacterium	tumefaciens	F2
cluster868	SEQF1457	Ochrobactrum	anthropi	ATCC 49188
cluster961	SEQF1515	Escherichia	coli	O157:H7 str. EC4486
cluster551	SEQF1297	Pseudomonas	aeruginosa	PAO1
cluster1957	SEQF2111	Lactobacillus	johnsonii	DPC 6026
cluster626	SEQF1315	Staphylococcus	aureus	MSSA476
cluster953	SEQF1513	Escherichia	coli	O157:H7 str. EC4206
cluster1465	SEQF1811	Staphylococcus	aureus	A9635
cluster2581	SEQF2363	Streptococcus	intermedius	ATCC 27335
cluster1392	SEQF1760	Klebsiella	pneumoniae	ATCC 13884
cluster3886	SEQF3046	Corynebacterium	aurimucosum	hmsc072a04
cluster847	SEQF1413	Delftia	acidovorans	"SPH-1, ATCC15668"
cluster3319	SEQF2803	Stenotrophomonas	nitritireducens	DSM 12575
cluster3276	SEQF2764	Mesorhizobium	loti	USDA 3471
cluster1225	SEQF1638	Lactobacillus	brevis	ATCC 27305
cluster1196	SEQF1607	Oribacterium	sinus	F0268
cluster2357	SEQF2290	Bacillus	subtilis	subsp. spizizenii TU-B-10
cluster1571	SEQF1864	Treponema	denticola	ATCC 35404
cluster228	SEQF1129	Mycobacterium	tuberculosis	H37Ra
cluster2678	SEQF2424	Streptococcus	intermedius	BA1
cluster2140	SEQF2202	Staphylococcus	aureus	O11
cluster3632	SEQF2953	Corynebacterium	accolens	kpl2004
cluster1940	SEQF2103	Lactobacillus	johnsonii	pf01
cluster2592	SEQF2381	Pseudomonas	fluorescens	SS101
cluster992	SEQF1523	Streptococcus	pneumoniae	70585
cluster3064	SEQF2672	Mycobacterium	neoaurum	VKM Ac-1815D
cluster2268	SEQF2269	Corynebacterium	diphtheriae	C7 (beta)
cluster3552	SEQF2911	Corynebacterium	pseudodiphtheriticum	kpl1995
cluster2662	SEQF2416	Campylobacter	showae	CSUNSWCD
cluster2049	SEQF2171	Pseudomonas	stutzeri	DSM 4166
cluster2487	SEQF2325	Bradyrhizobium	elkanii	587
cluster3644	SEQF2957	Corynebacterium	coyleae	hmsc08f01
cluster1650	SEQF1921	Peptostreptococcus	anaerobius	653-L
cluster2801	SEQF2517	Streptococcus	sobrinus	DSM 20742
cluster2246	SEQF2247	Streptococcus	sobrinus	TCI-107
cluster682	SEQF1342	Streptococcus	pneumoniae	 D39
cluster081	SEQF1038	Bacillus	anthracis	Ames Ancestor
cluster470	SEQF1236	Haemophilus	influenzae	R2866
cluster3500	SEQF2890	Dietzia	cinnamea	p4
cluster1495	SEQF1832	Staphylococcus	aureus	TCH60
cluster3267	SEQF2763	Mesorhizobium	loti	NZP2037
cluster3205	SEQF2716	Burkholderia	cepacia	JBK9
cluster3864	SEQF3039	Corynebacterium	singulare	hmsc078h07
cluster530	SEQF1289	Proteus	mirabilis	HI4320
cluster3800	SEQF3018	Fusobacterium	nucleatum subsp. polymorphum	hmsc064b11
cluster2053	SEQF2172	Ralstonia	pickettii	12J
cluster254	SEQF1132	Mycobacterium	tuberculosis	KZN 605
cluster1983	SEQF2146	Prevotella	denticola	CRIS 18C-A
cluster931	SEQF1507	Escherichia	coli	O157:H7 str. EC4042
cluster3184	SEQF2712	Staphylococcus	warneri	Lyso 1 2011
cluster1390	SEQF1760	Klebsiella	pneumoniae	ATCC 13884
cluster991	SEQF1523	Streptococcus	pneumoniae	70585
cluster3371	SEQF2839	Aggregatibacter	actinomycetemcomitans	624
cluster167	SEQF1082	Yersinia	pestis	biovar Microtus str. 91001
cluster985	SEQF1519	Escherichia	coli	SECEC SMS-3-5
cluster3337	SEQF2814	Fusobacterium	nucleatum subsp. polymorphum	ChDC F306
cluster2344	SEQF2288	Neisseria	meningitidis	WUE 2594
cluster3116	SEQF2695	Pseudomonas	otitidis	nan
cluster2728	SEQF2478	Stenotrophomonas	maltophilia	EPM1
cluster1008	SEQF1527	Streptococcus	pneumoniae	CDC3059-06
cluster1511	SEQF1836	Staphylococcus	epidermidis	M23864:W1
cluster2781	SEQF2507	Porphyromonas	gingivalis	JCVI SC001
cluster2624	SEQF2393	Proteus	mirabilis	WGLW4
cluster542	SEQF1295	Pseudomonas	aeruginosa	PA7
cluster1015	SEQF1529	Streptococcus	pneumoniae	JJA
cluster1901	SEQF2059	Dolosigranulum	pigrum	ATCC 51524
cluster2043	SEQF2169	Pseudomonas	fluorescens	F113
cluster1609	SEQF1895	Peptostreptococcus	anaerobius	"VPI 4330, ATCC 27337"
cluster1562	SEQF1851	Acidipropionibacterium	acidifaciens	F0233
cluster2022	SEQF2167	Pseudomonas	aeruginosa	M18
cluster116	SEQF1057	Yersinia	pestis	Nepal516
cluster3736	SEQF2994	Corynebacterium	tuberculostearicum	kpl1857
cluster1580	SEQF1869	Treponema	denticola	H-22/F0457
cluster3837	SEQF3030	Corynebacterium	tuberculostearicum	kpl1817
cluster268	SEQF1137	Escherichia	coli	O157:H7 str. TW14588
cluster3699	SEQF2981	Corynebacterium	aurimucosum	hmsc062a03
cluster3109	SEQF2692	Cronobacter	sakazakii	SP291
cluster3224	SEQF2720	Melioribacter	roseus	P3M-2
cluster2585	SEQF2374	Lactococcus	lactis	CNCM I-1631
cluster1477	SEQF1814	Staphylococcus	aureus	A9765
cluster1788	SEQF1991	Pseudomonas	aeruginosa	138244
cluster2755	SEQF2487	Bradyrhizobium	elkanii	USDA 76
cluster771	SEQF1382	Streptococcus	mutans	NN2025
cluster1754	SEQF1977	Ralstonia	pickettii	12D
cluster1170	SEQF1590	Streptococcus	pneumoniae	SP9v-BS293
cluster3443	SEQF2870	Moraxella	lincolnii	ccug_9405
cluster2416	SEQF2302	Streptococcus	pneumoniae	459-5
cluster2400	SEQF2299	Mycobacterium	tuberculosis	UT205
cluster3079	SEQF2674	Porphyromonas	uenonis	JCM 13868
cluster503	SEQF1264	Neisseria	sicca	ATCC 29256
cluster2698	SEQF2442	Staphylococcus	warneri	SG1
cluster603	SEQF1310	Staphylococcus	aureus	RF122
cluster1369	SEQF1726	Streptococcus	pneumoniae	P1031
cluster2718	SEQF2456	Clostridiales [F-3][G-1]	bacterium HMT 876	F0540
cluster2273	SEQF2270	Corynebacterium	diphtheriae	CDCE 8392
cluster069	SEQF1035	Mycobacterium	leprae	TN
cluster928	SEQF1504	Escherichia	coli	str. K-12 substr. DH10B
cluster1009	SEQF1528	Streptococcus	pneumoniae	Hungary19A-6
cluster3385	SEQF2846	Corynebacterium	singulare	ibs_b52218
cluster1255	SEQF1652	Simonsiella	muelleri	ATCC 29453
cluster3774	SEQF3007	Corynebacterium	coyleae	hmsc036e10
cluster751	SEQF1366	Streptococcus	salivarius	JIM8777
cluster1187	SEQF1601	Leptotrichia	hofstadii	F0254
cluster1686	SEQF1938	Capnocytophaga	sp. HMT 324	F0483
cluster3041	SEQF2638	Tannerella	sp. HMT 286	isolate Cell 8/11
cluster574	SEQF1300	Pseudomonas	fluorescens	Pf-5
cluster1052	SEQF1556	Yersinia	pestis	CA88-4125
cluster2785	SEQF2511	Prevotella	veroralis	DSM 19559
cluster129	SEQF1061	Treponema	denticola	"ATCC 35405, DSM 14222"
cluster2775	SEQF2505	Peptoniphilus	lacrimalis	DSM 7455
cluster656	SEQF1324	Staphylococcus	epidermidis	"RP62A, ATCC 35984"
cluster351	SEQF1173	Bacillus	subtilis	BSn5
cluster1875	SEQF2039	Bacillus	subtilis	subsp. natto BEST195
cluster2690	SEQF2439	Aggregatibacter	actinomycetemcomitans	serotype c str. AAS4A
cluster1796	SEQF1992	Pseudomonas	aeruginosa	HB15
cluster1079	SEQF1561	Yersinia	pestis	biovar Antiqua str. E1979001
cluster2212	SEQF2230	Streptococcus	pneumoniae	GA41301
cluster1509	SEQF1836	Staphylococcus	epidermidis	M23864:W1
cluster3482	SEQF2885	Janibacter	indicus	yfy001
cluster2570	SEQF2352	Pseudomonas	pseudoalcaligenes	KF707
cluster2579	SEQF2363	Streptococcus	intermedius	ATCC 27335
cluster3855	SEQF3036	Corynebacterium	simulans	hmsc076d02
cluster2764	SEQF2494	Lactobacillus	casei	Lc-10
cluster3702	SEQF2982	Haemophilus	parainfluenzae	hmsc066d03
cluster1630	SEQF1910	Lactobacillus	oris	PB013-T2-3
cluster2746	SEQF2487	Bradyrhizobium	elkanii	USDA 76
cluster557	SEQF1298	Pseudomonas	aeruginosa	UCBPP-PA14
cluster1034	SEQF1536	Streptococcus	pneumoniae	BS397
cluster3003	SEQF2619	Rhodobacter	capsulatus	B6
cluster2541	SEQF2340	Streptococcus	oralis subsp. oralis	SK10
cluster1319	SEQF1705	Streptococcus	vestibularis	F0396
cluster1341	SEQF1711	Escherichia	coli	O26:H11 str. 11368
cluster1514	SEQF1838	Staphylococcus	epidermidis	W23144
cluster170	SEQF1086	Bordetella	pertussis	"Tohama I, ATCC BAA-589, NCTC-13251"
cluster3400	SEQF2851	Corynebacterium	sp. HMT 207	hmsc074a01
cluster939	SEQF1509	Escherichia	coli	O157:H7 str. EC4076 
cluster1365	SEQF1725	Staphylococcus	aureus	ED98
cluster1555	SEQF1851	Acidipropionibacterium	acidifaciens	F0233
cluster3421	SEQF2861	Kocuria	palustris	mu14_1
cluster392	SEQF1192	Escherichia	coli	B171 (O111:NM)
cluster980	SEQF1518	Escherichia	coli	O157:H7 str. EC869
cluster2708	SEQF2448	Oribacterium	sp. HMT 078	F0263
cluster1827	SEQF2001	Streptococcus	mitis	SK321
cluster025	SEQF1025	Mesorhizobium	loti	MAFF303099
cluster3242	SEQF2742	Porphyromonas	gingivalis	AJW4
cluster2449	SEQF2310	Peptidiphaga	sp. HMT 183	F0552
cluster3538	SEQF2907	Corynebacterium	coyleae	hmsc11d10
cluster700	SEQF1345	Streptococcus	pneumoniae	OXC141
cluster1605	SEQF1892	Brevundimonas	diminuta	"470-4, ATCC 13184"
cluster1962	SEQF2114	Lactobacillus	rhamnosus	ATCC 8530
cluster2826	SEQF2536	Delftia	acidovorans	CCUG 15835
cluster2112	SEQF2193	Pseudomonas	aeruginosa	39016
cluster494	SEQF1261	Neisseria	lactamica	ATCC 23970
cluster1639	SEQF1916	Neisseria	meningitidis	ATCC 13091
cluster2489	SEQF2325	Bradyrhizobium	elkanii	587
cluster3413	SEQF2859	Corynebacterium	striatum	kc_na_01
cluster1610	SEQF1897	Corynebacterium	durum	F0235
cluster2803	SEQF2520	Streptococcus	cristatus clade 578	AS 1.3089
cluster3641	SEQF2956	Corynebacterium	amycolatum	hmsc14b06
cluster3249	SEQF2746	Arsenicicoccus	bolidensis	F0371
cluster1911	SEQF2063	Finegoldia	magna	SY403409CC001050417
cluster1100	SEQF1564	Yersinia	pestis	biovar Medievalis str. Harbin 35
cluster3084	SEQF2680	Prevotella	maculosa	JCM 15638
cluster2887	SEQF2565	Lactobacillus	brevis	KB290
cluster1415	SEQF1795	Peptoniphilus	lacrimalis	315-B
cluster3412	SEQF2857	Mogibacterium	pumilum	atcc_700696
cluster3453	SEQF2875	Acinetobacter	junii	65
cluster1750	SEQF1977	Ralstonia	pickettii	12D
cluster3616	SEQF2949	Corynebacterium	amycolatum	hmsc070b05
cluster1065	SEQF1559	Yersinia	pestis	Pestoides A
cluster412	SEQF1197	Escherichia	coli	E22
cluster435	SEQF1208	Escherichia	coli	str. K-12 substr. MG1655
cluster1699	SEQF1947	Treponema	vincentii	F0403/N9
cluster1668	SEQF1927	Eubacterium	limosum	KIST612
cluster2096	SEQF2188	Yersinia	pestis	Z176003
cluster086	SEQF1041	Bacillus	anthracis	Sterne
cluster1284	SEQF1678	Pseudopropionibacterium	propionicum	F0230a
cluster3048	SEQF2642	Finegoldia	magna	ALB8
cluster864	SEQF1451	Bacteroidales [G-2]	bacterium HMT 274	F0058
cluster1840	SEQF2013	Streptococcus	sanguinis	SK330
cluster1981	SEQF2142	Neisseria	mucosa	C102
cluster381	SEQF1188	Escherichia	coli	53638
cluster2530	SEQF2336	Streptococcus	intermedius	SK54
cluster2339	SEQF2287	Neisseria	meningitidis	NZ-05/33
cluster1189	SEQF1602	Capnocytophaga	gingivalis	ATCC 33624
cluster1869	SEQF2035	Agrobacterium	tumefaciens	F2
cluster1887	SEQF2048	Corynebacterium	diphtheriae	241
cluster3550	SEQF2910	Corynebacterium	amycolatum	atcc_6931
cluster323	SEQF1164	Acinetobacter	baumannii	AYE
cluster1078	SEQF1561	Yersinia	pestis	biovar Antiqua str. E1979001
cluster111	SEQF1056	Yersinia	pestis	KIM10+
cluster1922	SEQF2079	Kingella	denitrificans	ATCC 33394
cluster2586	SEQF2380	Prevotella	bivia	DSM 20514
cluster613	SEQF1312	Staphylococcus	aureus	JH1
cluster3156	SEQF2697	Pseudomonas	aeruginosa	ATCC 700888
cluster2900	SEQF2575	Actinomyces	gerencseriae	DSM 6844
cluster2975	SEQF2609	Streptococcus	anginosus	subsp. whileyi MAS624
cluster2447	SEQF2310	Peptidiphaga	sp. HMT 183	F0552
cluster3604	SEQF2943	Corynebacterium	tuberculostearicum	kpl1821
cluster030	SEQF1025	Mesorhizobium	loti	MAFF303099
cluster3463	SEQF2878	Corynebacterium	minutissimum	atcc_23348
cluster1389	SEQF1760	Klebsiella	pneumoniae	ATCC 13884
cluster3645	SEQF2957	Corynebacterium	coyleae	hmsc08f01
cluster3898	SEQF3050	Corynebacterium	sp. HMT 207	nml_150383
cluster1723	SEQF1965	Lactobacillus	plantarum	WCFS1
cluster153	SEQF1074	Aggregatibacter	actinomycetemcomitans	HK1651
cluster729	SEQF1359	Streptococcus	pyogenes	"MGAS2096, ATCC BAA-1065"
cluster1643	SEQF1918	Veillonella	atypica	ACS-134-V-Col7a
cluster3661	SEQF2967	Corynebacterium	amycolatum	hmsc064e07
cluster2805	SEQF2521	Pseudomonas	stutzeri	DSM 10701
cluster1769	SEQF1982	Anaerococcus	lactolyticus	ATCC 51172
cluster1935	SEQF2097	Lactobacillus	iners	LEAF 2062A-h1
cluster1335	SEQF1710	Escherichia	coli	O111:H- str. 11128
cluster1176	SEQF1590	Streptococcus	pneumoniae	SP9v-BS293
cluster182	SEQF1087	Agrobacterium	tumefaciens	biovar II K84
cluster1526	SEQF1844	Yersinia	pestis	KIM D27
cluster1591	SEQF1875	Treponema	denticola	SP32/F0464
cluster2335	SEQF2286	Neisseria	meningitidis	H44/76
cluster2627	SEQF2394	Proteus	mirabilis	WGLW6
cluster2953	SEQF2594	Actinomyces	timonensis	DSM 23838
cluster3804	SEQF3019	Corynebacterium	aurimucosum	hmsc055a01
cluster2252	SEQF2266	Bordetella	pertussis	CS
cluster3206	SEQF2716	Burkholderia	cepacia	JBK9
cluster3225	SEQF2720	Melioribacter	roseus	P3M-2
cluster3186	SEQF2713	Staphylococcus	warneri	Lyso 2 2011
cluster1756	SEQF1978	Kytococcus	sedentarius	DSM 20547
cluster3348	SEQF2820	Fusobacterium	nucleatum subsp. vincentii	3_1_36A2
